Teks,Label
Selamat Anda telah terdaftar sebagai pengguna BTN Mobile Banking. Segera aktifkan layanan untuk transaksi perbankan. Info lebih lanjut hubungi 1500286,non-phishing
"#SahabatDikbud ingin ikut memeriahkan peringatan HUT ke-79 RI tahun ini? Ayo ikuti audisi Gita Bahana Nusantara 2024! Audisi orkestra secara daring dimulai pada 1 Maret s.d. 20 April 2024, sedangkan seleksi paduan suara akan dilaksanakan di tiap provinsi pada kurun waktu Maret s.d. minggu kedua Juli 2024. Informasi lebih lanjut: http://linktr.ee/gitabahananusantara",non-phishing
(AXIS) Kuota utama Bronet 24Jam sdh digunakan seluruhnya.Pemakaian berikutnya kena tarif normal.Beli pkt di click.axis.co.id/9ec5/beli Info: axis.co.id/LC,non-phishing
(AXIS) Kuota utama Paket Bronet 24 Jam kamu di jam 00-23.59 hanya 20% lagi. Cek kuota kamu di aplikasi AXISnet click.axis.co.id/9ec5/80 Info: axis.co.id/LC,non-phishing
(AXIS) Waktu pemakaian Paket Warnet 1 Jam 1GB kamu hanya 30 menit lagi. Cek di aplikasi AXISnet utk melihat detail pemakaian kamu. Info 838,non-phishing
(AXIS) Waktu pemakaian Paket Warnet 1 Jam 1GB kamu telah berakhir. Penggunaan selanjutnya akan dikenakan tarif normal yaa. Info 838,non-phishing
"aman! Anda telah menerima pinjaman sebesar Rp20.000.000, silakan klik tautan untuk mengonfirmasi pinjaman. https://www.idnsloans.com",phishing
And4 d4p4t 189jt d4ri subs1di pem3rintah K0de and4 (717747) 1nfo klik. s.id/perta-mina12,phishing
and4 mnddptk4n subs1d1 pem3r1nt4h Rp.189.000.000 PIN PEMEN4NG:717747 info Resmi WA 0823-4621-7200 BUKA: s.id/bantuan-pertamina99,phishing
Anda dpt 33 XL Poin dr aktivasi/perpanjangan BRONET 3GB Disc40%. Poin berlaku s.d. 31 Desember 2024. Tukar poin dgn penawaran eksklusif di bit.ly/XLPoin,non-phishing
Anda dpt 99 XL Poin dr aktivasi/perpanjangan paket. Poin berlaku s.d. 31 Desember 2024. Tukar poin dgn penawaran eksklusif di bit.ly/XLPoin,non-phishing
Anda menerima Berkah SUBSID1 PERTAMINA Rp.190.000.000 KODE ID: D3649ACK WhatsApp CS: 081244959757 Buka; tinyurl.com/subsidi-pertamina77,phishing
"Anda menerima Hadiah Rp.85,Juta dri MS GL0W C0DE PIN: 2547799 Inf0 Kl1k; bit.ly/idmsglow7",phishing
anda mndptkan Subs1di pemerintah Rp.189.000.000 PIN Anda 717747 Wa 082239463993 Buka bit.ly/galery-pertamina9,phishing
Anda telah terdaftar sebagai pelanggan TCASH full service. Tingkatkan saldo Anda dg isi saldo TCASH di merchant berlogo TCASH terdekat.,non-phishing
"Assalamu'alaikum pak, Mohon ijin menyampaikan link tugas mata kuliah mobile 2 kelas 3C, di folder minggu 2 https://drive.google.com/drive/folders/1Dyvk84J_69-V6hEwmrRRm5XPwfPh9vGa Terimakasih bapak",non-phishing
Assalamualaikum siang Ini dari Mas Amin nitip link telegram buat Alumni angkatan kalian ya https://bit.ly/AlumniIkatif,non-phishing
"Assalamualaikum sya di Malaysia butuh pertolongan ncik untuk selamatkan uang sya dri keserakahan keluarga istri, kalau bersedia ini wh4ts4pp sye +60165891823",phishing
"Assalamualaikum, selamat pagi. Ysh. Bapak/ibu Mohon izin posting informasi akan survei yang sedang saya dan tim laksanakan. Mohon bantuannya untuk berpartisipasi mengisi angket ini. https://bit.ly/3X8KvHI Terimakasih Hormat saya",non-phishing
"Assalamu'alaikum, tolong lengkapi data berikut ya --> https://docs.google.com/spreadsheets/d/1PInvmFRSuHuBREjYFrgBiEuc73q_yJG8Do5d5N70wBo/edit?usp=sharing",non-phishing
AXISers.. ada bonus buat kamu! Cukup isi pulsa minimal 5ribu hari ini dan dapatkan bonus kuota 1GB untuk 7 hari. Yuk isi pulsa sekarang! Info 838 ALE75A,non-phishing
